event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
1,35.992472053408584,-84.85683984682709,2002012318,2002012309,2002012321,41.95334894185781,149.89999854564667,70.0,709.1042142380204,48.90614183956895,20.8799991607666,1623.8812923052883,12,107.94664960378886,127.80024146220866,144.5024224278901,161.87783342469604,207.8068906504612,230.16336775276,0,0,1,0
2,37.26061163682985,-88.95532022209335,2002012402,2002012401,2002012408,23.786001086235046,133.26000010967255,47.0,385.902497550137,37.85938010109736,75.75,1524.3742293160076,7,109.4739990234375,129.09901793003928,145.03399658203125,161.63631054078056,204.0543153544029,224.16461857889743,0,0,1,1
3,33.68025098888156,-90.96644970010152,2002012410,2002012409,2002012421,57.977691362027485,181.52000045776367,246.0,3410.085814350498,123.855958798221,39.25,2006.0475189966205,12,123.5423090957362,145.38630791268807,162.66092085050235,180.69492678518745,224.8909165780414,244.70293174331,0,0,1,1
4,31.4751277982502,-98.39219708356649,2002013105,2002013104,2002013114,4.864252097961014,125.01000106334686,1.0,4.864252097961014,0.0,40.880001068115234,2091.9730512304227,4,120.14574896538583,150.11799837496,175.25999450683594,202.69200134277347,276.3482390717235,311.92781707512535,0,0,1,1
5,35.89878107335511,-93.78161901140362,2002013115,2002013107,2002013119,8.609357561348048,127.77999877929688,13.0,41.93902548113836,4.058945506221375,19.0,2116.707737920024,12,119.17064121794884,140.7606440745901,158.54063157709072,177.33663506540915,225.2899672282005,247.45425421828327,0,0,1,1
6,43.81859205681669,-73.37044677283535,2002021102,2002021023,2002021109,9.403986869311469,82.39000034332275,6.0,32.24358902559898,4.321528655592902,61.75,1057.1583915562628,8,72.98601347401129,86.76095323344529,97.37001615955816,108.0380154271363,137.24802214100347,149.78202979428178,0,0,1,1
7,33.23353386077529,-84.37575023694615,2002030209,2002030205,2002030216,5.964007258415222,121.28000152111052,1.0,5.964007258415222,0.0,43.630001068115234,1016.2507951691376,11,115.31599426269533,139.1857789068017,159.00399780273438,180.58777207844045,236.4896205836599,263.1539452202188,0,0,1,1
8,30.583034325394745,-83.62569867220287,2002030306,2002030223,2002030311,121.69615613956805,266.7600049972534,423.0,9257.550030606357,222.54145639610056,69.0,1320.3756022481728,12,145.06384885768537,176.58068640236178,202.2637912635765,229.44252469333608,298.5812117145829,330.61432213762583,0,0,1,1
9,45.93333299739239,-86.8904773280837,2002030812,2002030807,2002030815,19.65000152587889,89.5,33.0,280.4261674976119,65.91048458573944,27.3799991607666,935.9487863652552,8,69.84999847412111,84.58199310302734,96.5199966430664,109.2199935913086,142.27674530601368,157.7707486019121,0,0,1,1
10,26.42602102038069,-81.8508715966824,2002030923,2002030919,2002031003,391.9608698062488,552.5200004577637,20.0,4129.7813530373805,39.08248963887968,118.37999725341795,121.02405997372983,0,160.55913065151495,197.617001551792,227.36113260464,258.34913732546715,336.0419921875,371.3479919433594,0,1,0,0
11,33.65142600020314,-86.68892059120526,2002031213,2002031206,2002031218,8.371121128704317,129.5,3.0,9.79682406873762,5.6176134070006425,66.5,1464.446374448191,8,121.12887887129568,145.35772154620895,165.90259996696312,187.8873278166621,245.6716222758723,273.08921297937275,0,0,1,1
12,32.205992347536984,-84.11911956008953,2002031620,2002031620,2002031621,14.391751070092424,134.10000610351562,1.0,14.391751070092424,0.0,135.25,110.90498789356847,0,119.7082550334232,147.0659942626953,170.508255854778,196.08799743652344,264.59678427924143,297.61677329291336,0,1,0,0
13,35.690615341487955,-86.65192845516532,2002031703,2002031703,2002031714,46.28400421142578,155.25,45.0,581.1454702250406,50.76332257458893,44.0,1005.4615585574747,11,108.96599578857422,128.55590478544087,144.77999877929688,161.79798889160156,204.75588839154824,225.3298954351557,0,0,1,1
14,36.64619962472511,-82.44453120682545,2002031713,2002031708,2002031720,80.4796822273297,153.77000033855438,100.0,454.15462616547904,12.926160656969012,110.75,1005.4615585574747,8,73.29031811122468,86.46945971215317,97.46759788965475,109.12273512842312,139.41092649559235,153.6822045694341,0,0,1,0
15,36.93336346470687,-81.64540473947108,2002031802,2002031802,2002031814,5.759503952245353,79.41999983787537,8.0,20.193077466619584,12.243158200888525,16.6299991607666,1932.8035112030047,11,73.66049588563001,86.98200560938945,98.04449857117692,109.33450624730692,138.40502021507197,152.37551446966225,0,0,1,1
16,32.83792054673533,-98.20303402138796,2002031908,2002031822,2002031910,29.06201159954071,145.13999927043915,16.0,174.19234895674165,33.44464327580253,57.25,1603.620984066801,5,116.07798767089844,143.62405012151734,167.33522841850103,192.85868241103373,255.63804243108768,284.34003828069706,0,0,1,1
17,38.34818324581423,-82.51268325476053,2002032011,2002032005,2002032017,2.41790653688102,80.02000045776367,1.0,2.41790653688102,0.0,12.25,2240.0329259964133,12,77.60209392088265,91.92150444315664,103.51008739053674,115.5699920654297,146.15338273173842,160.50149340273524,0,0,1,1
18,40.13363363317546,-88.42628387150421,2002032507,2002032504,2002032515,1.891998291015625,96.37999725341795,4.0,4.0699977874755575,11.898925482192327,28.75,1307.4897780650538,9,94.48799896240234,113.2374959984798,129.28599548339844,147.3199920654297,198.6265729045692,226.01206538004843,0,0,1,1
19,41.4527035455463,-77.13716744117971,2002032617,2002032611,2002032623,25.18119444106312,104.01000010967256,137.0,982.1419287445596,28.50296279531655,33.0,2145.9318586231675,11,78.82880566860943,93.9862060525054,106.68621063014211,120.82761465463238,159.49075638363473,179.47416263136478,0,0,1,0
20,26.67736806167713,-80.91720868162605,2002032621,2002032620,2002032623,14.14253673984618,154.60000610351562,2.0,25.928009195036395,5.238532307752736,111.87999725341795,188.7229209478425,0,140.45746936366945,172.88588777814027,199.48367387045985,227.42368559385912,298.9635598551423,332.23756905729226,0,1,0,0
21,33.28113113343539,-80.6236262128063,2002032621,2002032621,2002032702,3.086480062732079,121.25,1.0,3.086480062732079,0.0,75.12999725341797,2145.9318586231675,4,118.16351993726792,143.91569958098384,169.31569535036627,194.9696982829591,261.04086249462136,299.0850266655797,0,0,1,0
22,45.14387353246671,-67.29331920963767,2002032716,2002032707,2002032719,31.8052163482415,117.38999938964844,20.0,269.5861135028158,27.57408493282257,26.8799991607666,1884.9557728510365,7,85.58478304140694,100.53427642057316,112.150757964591,123.5807578727905,152.74104587833446,165.23675159787828,0,0,1,0
