event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
1,36.12633639563168,-79.64792087342869,NC,2002011208,2002011208,2002011209,2002011121,2002011220,71.06599999999999,178.0,2,80.13734819173723,4.054092892039005,178.0,34.8487819,0,106.934,127.06389897490894,143.25599999999997,160.3148595863111,202.73285958631112,222.2908595863111,0,1,0,1,0
2,35.992472053408584,-84.85683984682709,TN,2002012318,2002012309,2002012321,2002012303,2002012401,41.95334578438762,149.89999854564667,128,1168.5085854589347,11.483451653707275,20.8799991607666,1623.881292,12,107.94665276125905,127.80024899253338,144.50242273200342,161.87784522380773,207.80690175379243,230.1633851652965,0,0,1,0,1
3,37.26061163682985,-88.95532022209335,IL,2002012402,2002012401,2002012408,2002012316,2002012414,23.78600010967253,133.26000010967255,47,388.172248433043,11.61019422924777,75.75,1524.374229,7,109.47400000000002,129.09902082914908,145.034,161.63632025054375,204.05432025054373,224.16462693394607,0,0,1,1,1
4,33.68025098888156,-90.96644970010152,MS,2002012410,2002012409,2002012421,2002012403,2002012501,57.97768607935774,181.52000045776367,283,3652.134753892988,11.237366840669658,39.25,2006.047519,12,123.54231437840592,145.38631437840593,162.66093351770317,180.6949335177031,224.8909335177031,244.7029335177032,0,0,1,1,1
5,31.4751277982502,-98.39219708356649,TX,2002013105,2002013104,2002013114,2002013023,2002013116,4.864250356530562,125.01000106334686,1,4.864250356530562,0.0,40.880001068115234,2091.973051,4,120.1457507068163,150.11799999647667,175.26000000000002,202.692,276.34824929318376,311.9278299073769,0,0,1,1,1
6,35.89878107335511,-93.78161901140362,AR,2002013115,2002013107,2002013119,2002013107,2002013121,8.609355975781156,127.77999877929688,15,44.57024596592197,4.058945506221375,19.0,2116.707738,12,119.17064280351572,140.7606428035157,158.54064280351574,177.33664280351573,225.28997604589875,247.45426087126367,0,0,1,1,1
7,43.81859205681669,-73.37044677283535,VT,2002021102,2002021023,2002021107,2002021015,2002021111,9.403981103004824,82.39000034332275,6,32.34357933195892,4.321528655592902,61.75,1057.158392,8,72.98601924031793,86.76095609162537,97.37001924031792,108.03801924031792,137.24801924031794,149.78203848063586,0,0,1,1,1
8,30.289817185614385,-81.63943545771446,FL,2002021314,2002021311,2002021317,2002021303,2002021401,57.00940369227314,203.89000129699707,1,57.00940369227314,0.0,84.0,160.1837135,0,146.88059760472393,183.0019915153653,214.6012102451532,249.2548996826212,343.89951232305043,389.9269062336918,0,1,0,0,0
9,33.23353386077529,-84.37575023694615,GA,2002030209,2002030205,2002030216,2002030202,2002030219,5.964001521110532,121.28000152111052,1,5.964001521110532,0.0,43.630001068115234,1016.250795,11,115.316,139.1857778839901,159.004,180.5877778839901,236.48963658049087,263.1539633728147,0,0,1,1,1
10,30.583034325394745,-83.62569867220287,FL,2002030306,2002030223,2002030311,2002030219,2002030323,121.69615246335542,266.7600049972534,654,14030.658591402438,10.909430131237407,69.0,1320.375602,12,145.063852533898,176.5806880615497,202.2638009337037,229.44254059544764,298.5812286569974,330.61434152915126,0,0,1,1,1
11,45.93333299739239,-86.8904773280837,MI,2002030812,2002030807,2002030815,2002030801,2002030823,19.65000000000001,89.5,33,280.4261364876602,12.438399813440876,27.3799991607666,935.9487864,8,69.85,84.58200000000001,96.52,109.21999999999998,142.2767553895968,157.77075538959673,0,0,1,1,1
12,26.42602102038069,-81.8508715966824,FL,2002030923,2002030919,2002031003,2002030911,2002031013,391.9608560269394,552.5200004577637,20,4129.781261509805,10.406320902205072,118.37999725341795,121.02406,0,160.5591444308243,197.6170142864783,227.3611444308243,258.3491444308243,336.0419999999999,371.348,0,1,0,0,1
13,25.973943588102696,-81.70575270584828,FL,2002031119,2002031118,2002031201,2002031111,2002031207,25.66200011444093,182.3800001144409,1,25.66200011444093,0.0,99.62999725341795,68.41881688,0,156.718,192.865219468974,223.09121946897403,255.2800282542437,339.37615341646296,379.00015341646287,0,1,0,0,0
14,33.65142600020314,-86.68892059120526,AL,2002031213,2002031206,2002031218,2002031204,2002031222,8.371117637332432,129.5,3,9.796806117508922,5.6176134070006425,66.5,1464.446374,8,121.12888236266755,145.35772776463395,165.90261012730153,187.88733748221804,245.6716375940173,273.08921035090015,0,0,1,1,1
15,32.205992347536984,-84.11911956008953,GA,2002031620,2002031620,2002031621,2002031609,2002031708,14.391750882880189,134.10000610351562,1,14.391750882880189,0.0,135.25,110.9049879,0,119.70825522063544,147.066,170.50825522063548,196.088,264.596784395602,297.61678439560194,0,1,0,0,1
16,36.64619962472511,-82.44453120682545,VA,2002031713,2002031708,2002031719,2002031621,2002031817,80.4796779833894,153.77000033855438,244,2093.578124266537,11.552056154366872,110.75,1005.461559,8,73.29032235516499,86.46946352334031,97.46760181456742,109.12274298274272,139.41092704668063,153.68220650608305,0,0,1,0,1
17,32.83792054673533,-98.20303402138796,TX,2002031908,2002031822,2002031910,2002031821,2002031919,29.061999270439145,145.13999927043915,19,200.89677879207545,11.141516915197654,57.25,1603.620984,5,116.078,143.6240566013454,167.3352416512832,192.85868755643008,255.6380566013454,284.3400566013454,0,0,1,1,1
