event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
9429,28.21864113,-99.87085544,TX,2022071503,2022071502,2022071507,2022071416,2022071515,30.477,166.875,4,69.45801223,7.528850177,116,253.1803263,3,136.398,175.514,208.788,246.634,354.3902252,408.7762405,0,0,0,1,1
9430,44.98915468,-90.9828882,WI,2022071508,2022071507,2022071513,2022071422,2022071523,53.67288647,141.375,99,1350.233431,12.32582891,66.125,706.9826728,6,87.70211353,107.95,125.2122559,143.7542559,193.1065531,216.8006666,0,0,1,1,1
9431,35.14950286,-78.72098954,NC,2022071508,2022071422,2022071510,2022071422,2022071510,0.745,120.125,1,0.745,0,55.625,205.9723201,1,119.38,145.034,167.1392381,190.6228074,253.2445852,284.878363,0,0,0,1,1
9432,36.25427547,-78.03915375,NC,2022071522,2022071521,2022071600,2022071512,2022071609,1.213998474,105.0999985,1,1.213998474,0,60.125,151.3777665,0,103.886,125.476,149.352,171.45,227.6215629,262.2912054,0,1,0,0,1
9433,43.89126851,-102.5984712,SD,2022071600,2022071523,2022071610,2022071514,2022071611,14.081,80.375,4,20.47230884,9.683114724,37,283.105894,1,66.294,82.56189303,96.53189303,111.76,151.649893,170.953893,0,0,0,1,1
9434,44.02666271,-97.75653889,SD,2022071617,2022071616,2022071622,2022071606,2022071707,34.0988488,117.625,16,148.5446126,9.669255802,72.375,356.5335428,6,83.5261512,101.1360317,115.316,129.7431222,164.846,180.594,0,0,1,0,1
9435,37.2883281,-78.77597343,VA,2022071618,2022071617,2022071620,2022071607,2022071705,9.293089425,115.5999985,2,9.721087899,4.10482295,73.625,126.4585444,0,106.306909,129.286,149.606,171.196,228.480909,258.198909,0,1,0,0,1
9436,40.30725463,-85.78039697,IN,2022071716,2022071710,2022071722,2022071705,2022071807,101.362,189.5,67,2269.324841,11.9093334,48.25,833.9689873,6,88.138,104.050028,117.766028,131.482028,165.2313577,181.6513857,0,0,1,0,1
9437,38.79341047,-88.76094841,IL,2022071720,2022071712,2022071800,2022071709,2022071802,23.702,122,27,262.2775235,11.75857462,34.5,833.9689873,12,98.298,116.2159986,130.81,145.9966664,184.15,202.184,0,0,1,0,1
9438,40.71707905,-78.57951378,PA,2022071721,2022071720,2022071805,2022071715,2022071808,5.830990054,84.19999886,1,5.830990054,0,35.875,712.1991697,9,78.3690088,93.8630088,106.9471219,120.9171219,157.6301307,175.6582425,0,0,1,0,1
9439,36.80026775,-85.24513991,KY,2022071812,2022071808,2022071819,2022071717,2022071822,22.84330248,120.625,43,352.3061114,11.5604227,32.25,1142.878219,11,97.78169752,116.3271415,132.0716975,148.8356975,192.8879191,214.4730606,0,0,1,0,1
9440,44.51301778,-70.31432135,ME,2022071900,2022071822,2022071910,2022071815,2022071915,110.6100458,199.875,41,338.7919041,0,34,800.3978987,7,89.26495421,106.1399084,119.1345524,132.120078,168.2990322,183.7930322,0,0,1,1,0
9441,47.92899845,-89.81183006,MN,2022071904,2022071904,2022071915,2022071821,2022071916,10.64787407,84.125,5,26.15224991,8.917834164,35.125,284.9211175,1,73.47712593,90.932,105.41,121.158,162.56,182.2241101,0,0,0,1,1
9442,48.99266695,-97.02499878,MN,2022071920,2022071911,2022071923,2022071909,2022072008,23.397,101.375,10,82.48626268,6.344732818,50.875,345.669126,3,77.978,98.04372196,114.808,132.842,180.3707446,203.1996836,0,0,0,0,1
9443,35.16103853,-83.93310045,NC,2022072105,2022072102,2022072114,2022072016,2022072119,125.2867769,242.875,144,2852.820166,11.39251962,102.375,667.1018205,6,117.5882231,138.4963591,159.4094359,179.563168,229.5148513,259.1491898,0,0,1,1,1
9444,35.4254539,-94.82366566,OK,2022072122,2022072121,2022072203,2022072112,2022072210,36.24029271,153.6000061,4,78.10713904,8.046177721,91,391.2496766,3,117.3597134,138.43,155.7137134,174.0039716,221.2069186,243.0919716,0,0,0,0,1
9445,32.53941764,-87.98115801,AL,2022072201,2022072123,2022072208,2022072114,2022072213,52.7939938,176.9999938,20,406.2066238,11.11279307,67.125,446.292631,8,124.206,149.098,169.418,191.1251641,247.0051641,273.1851348,0,0,1,1,1
9446,41.017889,-99.27092872,NE,2022072303,2022072301,2022072305,2022072217,2022072314,6.322,97,1,6.322,0,51.625,116.5164826,0,90.678,110.5960409,126.746,143.6160409,186.0149128,205.5729128,0,1,0,1,1
